1,0,1359,413,120,362,-1,-1,-1,-1
1,1,1254,446,33,103,-1,-1,-1,-1
1,2,454,434,97,294,-1,-1,-1,-1
1,3,721,446,41,127,-1,-1,-1,-1
1,4,571,402,104,315,-1,-1,-1,-1
1,5,650,455,63,193,-1,-1,-1,-1
2,0,1359,413,120,362,-1,-1,-1,-1
2,1,1254,446,33,103,-1,-1,-1,-1
2,2,458,438,93,283,-1,-1,-1,-1
2,3,726,453,40,122,-1,-1,-1,-1
2,4,579,430,93,282,-1,-1,-1,-1
2,5,644,459,61,186,-1,-1,-1,-1
2,6,1494,408,112,338,-1,-1,-1,-1
3,0,1359,413,120,362,-1,-1,-1,-1
3,1,1254,446,33,103,-1,-1,-1,-1
3,2,455,451,96,291,-1,-1,-1,-1
3,3,729,450,39,120,-1,-1,-1,-1
3,4,574,414,99,300,-1,-1,-1,-1
3,5,657,419,73,222,-1,-1,-1,-1
3,6,1486,400,121,366,-1,-1,-1,-1
3,7,1098,429,41,127,-1,-1,-1,-1
4,0,1378,413,120,362,-1,-1,-1,-1
4,1,1254,446,33,103,-1,-1,-1,-1
4,2,459,442,92,279,-1,-1,-1,-1
4,3,730,448,40,124,-1,-1,-1,-1
4,4,588,429,98,297,-1,-1,-1,-1
4,5,657,419,73,222,-1,-1,-1,-1
4,6,1481,411,120,364,-1,-1,-1,-1
4,7,1098,429,41,127,-1,-1,-1,-1
5,0,1383,413,120,362,-1,-1,-1,-1
5,1,1254,446,33,103,-1,-1,-1,-1
5,2,460,441,91,276,-1,-1,-1,-1
5,3,730,447,41,126,-1,-1,-1,-1
5,4,584,439,89,271,-1,-1,-1,-1
5,5,643,461,59,180,-1,-1,-1,-1
5,6,1479,414,120,363,-1,-1,-1,-1
5,7,1098,429,41,127,-1,-1,-1,-1
6,0,1403,413,120,362,-1,-1,-1,-1
6,1,1254,446,33,103,-1,-1,-1,-1
6,2,460,441,91,275,-1,-1,-1,-1
6,3,730,446,41,127,-1,-1,-1,-1
6,4,586,440,90,273,-1,-1,-1,-1
6,5,643,461,59,180,-1,-1,-1,-1
6,6,1479,414,120,363,-1,-1,-1,-1
6,7,1098,429,41,127,-1,-1,-1,-1
7,0,1400,401,130,393,-1,-1,-1,-1
7,1,1254,446,33,103,-1,-1,-1,-1
7,2,456,437,94,286,-1,-1,-1,-1
7,3,730,446,41,127,-1,-1,-1,-1
7,4,591,438,94,284,-1,-1,-1,-1
7,5,657,419,73,222,-1,-1,-1,-1
7,6,1499,413,120,362,-1,-1,-1,-1
7,7,1098,429,41,127,-1,-1,-1,-1
8,0,1404,393,129,390,-1,-1,-1,-1
8,1,1255,443,35,107,-1,-1,-1,-1
8,2,454,435,96,291,-1,-1,-1,-1
8,3,729,446,41,127,-1,-1,-1,-1
8,4,593,436,96,290,-1,-1,-1,-1
8,5,657,419,73,222,-1,-1,-1,-1
8,6,1504,413,120,362,-1,-1,-1,-1
